age_days,authoritative,evidence_id,path,status,version
58,False,PROJECT_CHARTER,shared/project_charter.docx,AVAILABLE,5
13,False,BUSINESS_CASE,gate_evidence/general/business_case.csv,AVAILABLE,4
136,True,BUDGET_APPROVAL,gate_evidence/general/budget_approval.csv,AVAILABLE,5
170,False,ACTION_REGISTER,shared/action_register.csv,AVAILABLE,2
4,False,BENEFITS_PLAN,gate_evidence/general/benefits_plan.docx,AVAILABLE,5
163,True,PORTFOLIO_SNAPSHOT,gate_evidence/general/portfolio_snapshot.csv,UNAVAILABLE,3
113,False,COMMITTEE_BRIEFING,gate_evidence/general/committee_briefing.docx,AVAILABLE,1
169,True,CMDB_EXPORT,gate_evidence/it/cmdb_export.csv,AVAILABLE,4
150,True,TECH_CATALOG,gate_evidence/it/technology_catalog.json,AVAILABLE,5
96,True,LICENSE_POSITION,gate_evidence/it/license_position.csv,UNAVAILABLE,3
143,True,LIFECYCLE_REGISTER,gate_evidence/it/lifecycle_eol.csv,AVAILABLE,2
51,False,SUPPORT_RACI,gate_evidence/it/support_raci.docx,AVAILABLE,1
10,True,ITSM_CHANGE,gate_evidence/it/itsm_change.csv,AVAILABLE,3
98,True,CAPACITY_REPORT,gate_evidence/it/capacity_report.csv,AVAILABLE,1
75,False,TECH_WAIVER,gate_evidence/it/technology_waiver.docx,NOT_APPLICABLE,3
50,False,HLD,gate_evidence/architecture/Architecture_Diagram_Detailed.svg,AVAILABLE,5
60,False,LLD,gate_evidence/architecture/LLD_Architecture_Notes.docx,AVAILABLE,2
138,False,FLOW_MATRIX,gate_evidence/architecture/flow_matrix.csv,AVAILABLE,5
107,False,OPENAPI,gate_evidence/architecture/openapi.yaml,AVAILABLE,3
74,False,DATA_MODEL,gate_evidence/architecture/data_model.json,AVAILABLE,1
110,False,DATA_LINEAGE,gate_evidence/architecture/data_lineage.csv,AVAILABLE,4
148,True,IP_PLAN,gate_evidence/architecture/ip_plan.csv,AVAILABLE,2
22,False,ADR_REGISTER,gate_evidence/architecture/adr_register.csv,AVAILABLE,1
120,False,ARCH_DEBT,gate_evidence/architecture/architecture_debt.csv,AVAILABLE,3
131,True,AZURE_RESOURCE_GRAPH,gate_evidence/security/azure_resource_graph.json,AVAILABLE,1
133,True,IAM_EXPORT,gate_evidence/security/entra_role_assignments.csv,AVAILABLE,5
28,True,CONDITIONAL_ACCESS,gate_evidence/security/conditional_access.json,AVAILABLE,2
155,True,NSG_RULES,gate_evidence/security/nsg_rules.csv,UNAVAILABLE,3
131,True,WAF_POLICY,gate_evidence/security/waf_policy.json,AVAILABLE,2
43,True,SENTINEL_STATUS,gate_evidence/security/sentinel_connectors.json,AVAILABLE,1
68,True,FIREWALL_POLICY,gate_evidence/security/firewall_policy.json,AVAILABLE,2
175,True,KEYVAULT_CONFIG,gate_evidence/security/keyvault_configuration.json,AVAILABLE,3
37,True,DEFENDER_FINDINGS,gate_evidence/security/defender_findings.csv,AVAILABLE,2
63,True,VULN_SCAN,gate_evidence/security/vulnerability_scan.csv,AVAILABLE,4
58,False,PENTEST,gate_evidence/security/pentest_report.docx,AVAILABLE,2
99,False,THREAT_MODEL,gate_evidence/security/threat_model.docx,AVAILABLE,1
62,True,BACKUP_JOBS,gate_evidence/tech_readiness/backup_jobs.csv,AVAILABLE,5
115,True,RESTORE_TEST,gate_evidence/tech_readiness/restore_test.csv,AVAILABLE,2
113,True,FAILOVER_TEST,gate_evidence/tech_readiness/failover_test.csv,AVAILABLE,2
122,True,LOAD_TEST,gate_evidence/tech_readiness/load_test.csv,AVAILABLE,5
66,True,CI_PIPELINE,gate_evidence/tech_readiness/ci_pipeline.json,AVAILABLE,2
123,False,RUNBOOK,gate_evidence/tech_readiness/production_runbook.docx,AVAILABLE,1
95,True,ROLLBACK_TEST,gate_evidence/tech_readiness/rollback_test.csv,AVAILABLE,4
176,True,SLO_SLI,gate_evidence/tech_readiness/slo_sli.csv,AVAILABLE,4
66,True,MONITOR_ALERTS,gate_evidence/tech_readiness/monitor_alerts.csv,AVAILABLE,2
169,False,RFP,gate_evidence/procurement/RFP.docx,AVAILABLE,4
80,False,VENDOR_OFFERS,gate_evidence/procurement/vendor_offers.csv,AVAILABLE,1
