model,gate,n,attempted,attempt_rate,csr,csr_ci95_low,csr_ci95_high,decision_accuracy,findings_f1,actions_f1,evidence_fidelity,authorization_accuracy
deepseek/deepseek-v4.1-flash,architecture,10,10,1.0,0.1,0.0,0.3,1.0,1.0,1.0,0.2,1.0
deepseek/deepseek-v4.1-flash,compliance,10,10,1.0,0.3,0.1,0.5,1.0,1.0,1.0,0.55,1.0
deepseek/deepseek-v4.1-flash,general,15,15,1.0,0.0,0,0.203883,1.0,1.0,1.0,0.1222,1.0
deepseek/deepseek-v4.1-flash,it,15,15,1.0,0.6,0.333333,0.866667,1.0,1.0,1.0,0.711133,1.0
deepseek/deepseek-v4.1-flash,legal,10,10,1.0,0.7,0.4,1.0,1.0,1.0,1.0,0.7333,1.0
deepseek/deepseek-v4.1-flash,procurement,5,5,1.0,0.2,0.0,0.6,1.0,1.0,1.0,0.2,1.0
deepseek/deepseek-v4.1-flash,security,15,15,1.0,0.133333,0.0,0.333333,1.0,0.990467,0.990467,0.188867,1.0
deepseek/deepseek-v4.1-flash,tech_readiness,5,5,1.0,0.0,0,0.434482,1.0,1.0,1.0,0.4132,1.0
google/gemini-3.8-flash,architecture,10,10,1.0,0.7,0.5,0.9,1.0,1.0,1.0,0.7667,1.0
google/gemini-3.8-flash,compliance,10,10,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.8667,1.0
google/gemini-3.8-flash,general,15,15,1.0,0.666667,0.4,0.866667,1.0,1.0,1.0,0.8,1.0
google/gemini-3.8-flash,it,15,15,1.0,0.6,0.333333,0.866667,0.733333,1.0,1.0,0.933333,0.733333
google/gemini-3.8-flash,legal,10,10,1.0,0.8,0.6,1.0,0.8,1.0,1.0,1.0,0.8
google/gemini-3.8-flash,procurement,5,5,1.0,0.6,0.2,1.0,1.0,1.0,1.0,0.6,1.0
google/gemini-3.8-flash,security,15,15,1.0,0.933333,0.8,1.0,1.0,1.0,1.0,0.966667,1.0
google/gemini-3.8-flash,tech_readiness,5,5,1.0,0.6,0.2,1.0,0.8,1.0,1.0,0.9334,0.8
z-ai/glm-5.3-flash,architecture,7,7,1.0,0.571429,0.571429,0.571429,1.0,1.0,1.0,0.761857,1.0
z-ai/glm-5.3-flash,compliance,6,6,1.0,0.166667,0.0,0.5,1.0,1.0,1.0,0.416667,1.0
z-ai/glm-5.3-flash,general,10,10,1.0,0.0,0,0.277533,1.0,1.0,1.0,0.1,1.0
z-ai/glm-5.3-flash,it,10,10,1.0,0.7,0.4,0.9,1.0,1.0,1.0,0.7,1.0
z-ai/glm-5.3-flash,legal,6,6,1.0,0.666667,0.333333,1.0,1.0,1.0,1.0,0.722167,1.0
z-ai/glm-5.3-flash,procurement,3,3,1.0,0.333333,0.0,1.0,1.0,1.0,1.0,0.333333,1.0
z-ai/glm-5.3-flash,security,10,10,1.0,0.3,0.1,0.5,1.0,1.0,1.0,0.5166,1.0
z-ai/glm-5.3-flash,tech_readiness,4,4,1.0,0.25,0.0,0.75,1.0,1.0,1.0,0.53325,1.0
