action,due_date,finding_id,gate,occurrence_id,owner,status
REMEDIATE_LATENCY,2027-06-26,ARCH-PERF-001,architecture,BUILD-02-ARCHITECTURE-1,Solution Architect,OPEN
ENABLE_WAF_PREVENTION,2027-06-26,SEC-WAF-002,security,BUILD-03-SECURITY-1,Network Security,OPEN
ENABLE_PRIVATE_ENDPOINTS,2027-06-26,SEC-NET-001,security,BUILD-03-SECURITY-1,Cloud Platform,OPEN
CONNECT_LOGS_TO_SIEM,2027-06-26,SEC-LOG-001,security,BUILD-03-SECURITY-1,SOC,OPEN
ENABLE_BACKUP,2027-06-26,TR-BACKUP-001,tech_readiness,BUILD-04-TECH_READINESS-1,Operations,OPEN
REMEDIATE_RECOVERY_POINT,2027-06-26,TR-RPO-001,tech_readiness,BUILD-04-TECH_READINESS-1,SRE,OPEN
RUN_DR_FAILOVER_TEST,2027-06-26,TR-DR-001,tech_readiness,BUILD-04-TECH_READINESS-1,SRE,OPEN
REMEDIATE_BUILD_FINDINGS,2027-06-26,TR-CODE-001,tech_readiness,BUILD-04-TECH_READINESS-1,Engineering,OPEN
CLOSE_PRODUCTION_BLOCKERS,2027-06-26,TR-BLOCKER-001,tech_readiness,BUILD-04-TECH_READINESS-1,Product Team,OPEN
OBTAIN_STRATEGIC_ARBITRATION,2027-06-26,GEN-STRAT-001,general,BUILD-05-GENERAL-1,Sponsor,OPEN
REVISE_BUSINESS_CASE,2027-06-26,GEN-BC-001,general,BUILD-05-GENERAL-1,Business Owner,OPEN
RESOLVE_UPSTREAM_NO_GO,2027-06-26,GEN-UPSTREAM-NOGO,general,BUILD-05-GENERAL-1,Project Manager,OPEN
