age_days,authoritative,evidence_id,path,status,version
78,False,PROJECT_CHARTER,shared/project_charter.docx,AVAILABLE,2
106,False,BUSINESS_CASE,gate_evidence/general/business_case.csv,AVAILABLE,1
38,True,BUDGET_APPROVAL,gate_evidence/general/budget_approval.csv,AVAILABLE,2
34,False,ACTION_REGISTER,shared/action_register.csv,AVAILABLE,1
128,False,BENEFITS_PLAN,gate_evidence/general/benefits_plan.docx,AVAILABLE,2
161,True,PORTFOLIO_SNAPSHOT,gate_evidence/general/portfolio_snapshot.csv,UNAVAILABLE,5
44,False,COMMITTEE_BRIEFING,gate_evidence/general/committee_briefing.docx,AVAILABLE,2
36,True,CMDB_EXPORT,gate_evidence/it/cmdb_export.csv,AVAILABLE,2
13,True,TECH_CATALOG,gate_evidence/it/technology_catalog.json,AVAILABLE,3
29,True,LICENSE_POSITION,gate_evidence/it/license_position.csv,AVAILABLE,3
168,True,LIFECYCLE_REGISTER,gate_evidence/it/lifecycle_eol.csv,AVAILABLE,1
160,False,SUPPORT_RACI,gate_evidence/it/support_raci.docx,AVAILABLE,1
178,True,ITSM_CHANGE,gate_evidence/it/itsm_change.csv,AVAILABLE,3
9,True,CAPACITY_REPORT,gate_evidence/it/capacity_report.csv,AVAILABLE,5
7,False,TECH_WAIVER,gate_evidence/it/technology_waiver.docx,AVAILABLE,2
172,False,HLD,gate_evidence/architecture/Architecture_Diagram_Detailed.svg,AVAILABLE,2
45,False,LLD,gate_evidence/architecture/LLD_Architecture_Notes.docx,AVAILABLE,4
107,False,FLOW_MATRIX,gate_evidence/architecture/flow_matrix.csv,AVAILABLE,1
152,False,OPENAPI,gate_evidence/architecture/openapi.yaml,AVAILABLE,5
96,False,DATA_MODEL,gate_evidence/architecture/data_model.json,AVAILABLE,5
98,False,DATA_LINEAGE,gate_evidence/architecture/data_lineage.csv,AVAILABLE,1
41,True,IP_PLAN,gate_evidence/architecture/ip_plan.csv,AVAILABLE,5
18,False,ADR_REGISTER,gate_evidence/architecture/adr_register.csv,AVAILABLE,4
21,False,ARCH_DEBT,gate_evidence/architecture/architecture_debt.csv,AVAILABLE,1
32,True,AZURE_RESOURCE_GRAPH,gate_evidence/security/azure_resource_graph.json,AVAILABLE,3
112,True,IAM_EXPORT,gate_evidence/security/entra_role_assignments.csv,AVAILABLE,4
157,True,CONDITIONAL_ACCESS,gate_evidence/security/conditional_access.json,AVAILABLE,3
67,True,NSG_RULES,gate_evidence/security/nsg_rules.csv,AVAILABLE,1
46,True,WAF_POLICY,gate_evidence/security/waf_policy.json,AVAILABLE,3
6,True,SENTINEL_STATUS,gate_evidence/security/sentinel_connectors.json,AVAILABLE,2
131,True,FIREWALL_POLICY,gate_evidence/security/firewall_policy.json,AVAILABLE,2
41,True,KEYVAULT_CONFIG,gate_evidence/security/keyvault_configuration.json,AVAILABLE,5
22,True,DEFENDER_FINDINGS,gate_evidence/security/defender_findings.csv,AVAILABLE,2
160,True,VULN_SCAN,gate_evidence/security/vulnerability_scan.csv,AVAILABLE,3
103,False,PENTEST,gate_evidence/security/pentest_report.docx,AVAILABLE,1
133,False,THREAT_MODEL,gate_evidence/security/threat_model.docx,AVAILABLE,4
17,True,BACKUP_JOBS,gate_evidence/tech_readiness/backup_jobs.csv,AVAILABLE,3
96,True,RESTORE_TEST,gate_evidence/tech_readiness/restore_test.csv,AVAILABLE,5
8,True,FAILOVER_TEST,gate_evidence/tech_readiness/failover_test.csv,AVAILABLE,5
1,True,LOAD_TEST,gate_evidence/tech_readiness/load_test.csv,AVAILABLE,2
53,True,CI_PIPELINE,gate_evidence/tech_readiness/ci_pipeline.json,AVAILABLE,5
22,False,RUNBOOK,gate_evidence/tech_readiness/production_runbook.docx,AVAILABLE,3
25,True,ROLLBACK_TEST,gate_evidence/tech_readiness/rollback_test.csv,AVAILABLE,3
142,True,SLO_SLI,gate_evidence/tech_readiness/slo_sli.csv,AVAILABLE,5
32,True,MONITOR_ALERTS,gate_evidence/tech_readiness/monitor_alerts.csv,AVAILABLE,5
74,False,RFP,gate_evidence/procurement/RFP.docx,AVAILABLE,3
138,False,VENDOR_OFFERS,gate_evidence/procurement/vendor_offers.csv,AVAILABLE,4
15,False,SCORING_MATRIX,gate_evidence/procurement/scoring_matrix.csv,AVAILABLE,4
115,True,DUE_DILIGENCE,gate_evidence/procurement/due_diligence.csv,AVAILABLE,1
143,False,PRICING_TCO,gate_evidence/procurement/pricing_tco.csv,AVAILABLE,5
93,False,VENDOR_EVIDENCE_REQUEST,gate_evidence/procurement/vendor_evidence_request.docx,AVAILABLE,4
161,False,MSA,gate_evidence/legal/MSA.docx,AVAILABLE,1
61,False,DPA,gate_evidence/legal/DPA.docx,AVAILABLE,3
104,False,SLA_ANNEX,gate_evidence/legal/SLA_Annex.docx,AVAILABLE,2
