age_days,authoritative,evidence_id,path,status,version
20,False,PROJECT_CHARTER,shared/project_charter.docx,AVAILABLE,4
90,False,BUSINESS_CASE,gate_evidence/general/business_case.csv,AVAILABLE,5
54,True,BUDGET_APPROVAL,gate_evidence/general/budget_approval.csv,AVAILABLE,2
64,False,ACTION_REGISTER,shared/action_register.csv,AVAILABLE,3
61,False,BENEFITS_PLAN,gate_evidence/general/benefits_plan.docx,AVAILABLE,2
12,True,PORTFOLIO_SNAPSHOT,gate_evidence/general/portfolio_snapshot.csv,UNAVAILABLE,1
158,False,COMMITTEE_BRIEFING,gate_evidence/general/committee_briefing.docx,AVAILABLE,4
45,True,CMDB_EXPORT,gate_evidence/it/cmdb_export.csv,AVAILABLE,1
10,True,TECH_CATALOG,gate_evidence/it/technology_catalog.json,AVAILABLE,2
37,True,LICENSE_POSITION,gate_evidence/it/license_position.csv,AVAILABLE,5
90,True,LIFECYCLE_REGISTER,gate_evidence/it/lifecycle_eol.csv,AVAILABLE,3
63,False,SUPPORT_RACI,gate_evidence/it/support_raci.docx,AVAILABLE,5
135,True,ITSM_CHANGE,gate_evidence/it/itsm_change.csv,AVAILABLE,4
23,True,CAPACITY_REPORT,gate_evidence/it/capacity_report.csv,UNAVAILABLE,4
172,False,TECH_WAIVER,gate_evidence/it/technology_waiver.docx,AVAILABLE,1
26,False,HLD,gate_evidence/architecture/Architecture_Diagram_Detailed.svg,AVAILABLE,1
41,False,LLD,gate_evidence/architecture/LLD_Architecture_Notes.docx,AVAILABLE,1
50,False,FLOW_MATRIX,gate_evidence/architecture/flow_matrix.csv,AVAILABLE,5
95,False,OPENAPI,gate_evidence/architecture/openapi.yaml,AVAILABLE,5
173,False,DATA_MODEL,gate_evidence/architecture/data_model.json,AVAILABLE,3
94,False,DATA_LINEAGE,gate_evidence/architecture/data_lineage.csv,AVAILABLE,1
13,True,IP_PLAN,gate_evidence/architecture/ip_plan.csv,AVAILABLE,3
14,False,ADR_REGISTER,gate_evidence/architecture/adr_register.csv,AVAILABLE,2
40,False,ARCH_DEBT,gate_evidence/architecture/architecture_debt.csv,AVAILABLE,1
6,True,AZURE_RESOURCE_GRAPH,gate_evidence/security/azure_resource_graph.json,AVAILABLE,5
151,True,IAM_EXPORT,gate_evidence/security/entra_role_assignments.csv,AVAILABLE,2
109,True,CONDITIONAL_ACCESS,gate_evidence/security/conditional_access.json,AVAILABLE,1
