adr_id,decision,status
ADR-001,Use governed Azure reference pattern,Accepted
ADR-002,Use governed Azure reference pattern,Accepted
ADR-003,Use governed Azure reference pattern,Accepted
ADR-004,Use governed Azure reference pattern,Accepted
ADR-005,Use governed Azure reference pattern,Accepted
ADR-006,Use governed Azure reference pattern,Accepted
ADR-007,Use governed Azure reference pattern,Accepted
ADR-008,Use governed Azure reference pattern,Accepted
ADR-009,Use governed Azure reference pattern,Accepted
ADR-010,Use governed Azure reference pattern,Accepted
ADR-011,Use governed Azure reference pattern,Accepted
ADR-012,Use governed Azure reference pattern,Accepted
ADR-013,Use governed Azure reference pattern,Accepted
ADR-014,Use governed Azure reference pattern,Accepted
