action,due_date,finding_id,gate,occurrence_id,owner,status
COMPLETE_VENDOR_DUE_DILIGENCE,2028-01-04,PROC-DD-001,procurement,BUY-01-PROCUREMENT-1,Vendor Risk,OPEN
OBTAIN_BUDGET_ARBITRATION,2028-01-04,PROC-BUDGET-001,procurement,BUY-01-PROCUREMENT-1,CFO / Sponsor,OPEN
REDLINE_AUDIT_RIGHT,2028-01-04,LEGAL-AUDIT-001,legal,BUY-02-LEGAL-1,Legal,OPEN
IMPLEMENT_WAF,2028-01-04,SEC-WAF-001,security,BUY-04-SECURITY-1,Security Architect,OPEN
ENFORCE_MFA,2028-01-04,SEC-IAM-001,security,BUY-04-SECURITY-1,IAM Team,OPEN
IMPROVE_KEY_ROTATION,2028-01-04,SEC-KEY-001,security,BUY-04-SECURITY-1,Cloud Security,OPEN
SUBMIT_TECHNOLOGY_WAIVER,2028-01-04,IT-CATALOG-001,it,BUY-05-IT-1,IT Architecture,OPEN
CREATE_CMDB_RECORD,2028-01-04,IT-CMDB-001,it,BUY-05-IT-1,ITSM,OPEN
CREATE_CONVERGENCE_PLAN,2028-01-04,IT-EOL-001,it,BUY-05-IT-1,Technology Owner,OPEN
REVISE_BUSINESS_CASE,2028-01-04,GEN-BC-001,general,BUY-06-GENERAL-1,Business Owner,OPEN
RESOLVE_UPSTREAM_NO_GO,2028-01-04,GEN-UPSTREAM-NOGO,general,BUY-06-GENERAL-1,Project Manager,OPEN
